"LoincCode","AtomName","CanonicalInvestigationLoincCode","CanonicalInvestigationName","Category","Unit","Type","Required"
"64098-7","Six minute walk distance","64098-7","Six Minute Walk Test","other","m/(6.min)","numeric",TRUE
"8889-8","Heart rate by Pulse oximetry - Pre-test","64098-7","Six Minute Walk Test","other","b/m","numeric",TRUE
"59408-5","Oxygen saturation in Arterial blood by Pulse oximetry - Pre-test","64098-7","Six Minute Walk Test","other","%","numeric",TRUE
"8889-8","Heart rate by Pulse oximetry - Minute 1","64098-7","Six Minute Walk Test","other","b/m","numeric",TRUE
"59408-5","Oxygen saturation in Arterial blood by Pulse oximetry - Minute 1","64098-7","Six Minute Walk Test","other","%","numeric",TRUE
"8889-8","Heart rate by Pulse oximetry - Minute 2","64098-7","Six Minute Walk Test","other","b/m","numeric",TRUE
"59408-5","Oxygen saturation in Arterial blood by Pulse oximetry - Minute 2","64098-7","Six Minute Walk Test","other","%","numeric",TRUE
"8889-8","Heart rate by Pulse oximetry - Minute 3","64098-7","Six Minute Walk Test","other","b/m","numeric",TRUE
"59408-5","Oxygen saturation in Arterial blood by Pulse oximetry - Minute 3","64098-7","Six Minute Walk Test","other","%","numeric",TRUE
"8889-8","Heart rate by Pulse oximetry - Minute 4","64098-7","Six Minute Walk Test","other","b/m","numeric",TRUE
"59408-5","Oxygen saturation in Arterial blood by Pulse oximetry - Minute 4","64098-7","Six Minute Walk Test","other","%","numeric",TRUE
"8889-8","Heart rate by Pulse oximetry - Minute 5","64098-7","Six Minute Walk Test","other","b/m","numeric",TRUE
"59408-5","Oxygen saturation in Arterial blood by Pulse oximetry - Minute 5","64098-7","Six Minute Walk Test","other","%","numeric",TRUE
"8889-8","Heart rate by Pulse oximetry - Minute 6","64098-7","Six Minute Walk Test","other","b/n","numeric",TRUE
"59408-5","Oxygen saturation in Arterial blood by Pulse oximetry - Minute 6","64098-7","Six Minute Walk Test","other","%","numeric",TRUE
"8889-8","Heart rate by Pulse oximetry - Post-test","64098-7","Six Minute Walk Test","other","b/n","numeric",TRUE
